10_1_2	1	36 11	0
10_1_3	0	8 534 8 10 3 121 490 606 0	1
10_1_4	1	32 71 24 204 146 1 606 0 32 71 24 204 146 1 41999 0 46 6 509 0	2
10_1_5	0	3 173 8 71 92 0 1073 313 5 2224 145 702 30 78 606 10 78 606 13 694 1 542 0	1
10_1_6	1	46 6 509 0	1
10_1_7	0	437 0 16 8 66 41 1059 13 16 23821 99 6 23 1075 11	2
10_1_8	1	52 0	2
10_1_9	0	1 8 51 15 118 2 99 1 23821 11	4
10_1_10	2	41 762 1 215 0 252 23821 1 662 82 18 0 46 6 509 0	2
10_1_11	0	153 77 0	1
10_1_12	1	3 43 251 45 21 351 1 204 146 59 2 4827 2454 0	1
10_1_13	2	266 4 3 186 23 606 1781 54 12 1672 1 204 146 59 228 2846 4 25 75 21 0	1
10_1_14	0	283 4 45 8 84 28 6 509 8 71 204 146 19 6 177 143 0	1
10_1_15	2	437 4 3 43 204 146 46 487 53 23 340 0 34 74 307 10 513 4 210 307 4 2495 22 1405 0	1
10_1_16	1	157 4 500 574 0	1
10_1_19	2	36 11 150 0 503 0 437 4 283 63 4 3 26 4 3 43 251 4 3 26 6 46 75 0	1
10_1_21	2	89 11	0
10_1_23	1	77 4 89 11 36 13 258 11	2
10_1_24	0	36002 4 1 32 108 16 2 680 99 11 437 4 89 4 36 13 258 11	4
10_1_28	0	16 3 51 177 36 4 64 35 593 14 2 6129 11	3
10_1_30	0	150 4 956 28 4 15 1 23 1075 8 71 143 47 4 1352 8011 0	2
10_1_31	2	437 4 40986 4 1 20 8 9918 5 255 11 44 32 57 1 38 344 5 3578 10 19 5 41051 0	1
10_1_32	0	10 305 117 345 142 0	3
10_1_33	1	24 179 4 1292 0 1075 4 1836 10 3 98 84 8 6 1 275 12 21 0 198 364 0	2
10_1_34	2	157 4 666 45 8 382 4 9565 62 57 29 26 456 41 1282 0	3
10_1_36	0	8 57 4 131 4 45 38 16 19 40949 4 32 105 44 1 86 5 8990 14126 0	2
10_1_37	4	9 1 432 65 8 66 47 9 0	1
10_1_38	3	211 6 8 0 8 16 20 26 5 158 18 1405 554 0	2
10_1_40	3	283 4 45 66 1046 961 1804 1 2063 8 59 8 5 5795 4 124 4 157 4 437 0	3
10_1_41	4	150 4 3 105 26 9 0	0
10_1_43	3	3 19 1315 2335 0 8 12 44 76 97 57 15 0	0
10_1_44	4	1134 0	1
10_1_46	4	2558 40943 11	0
10_1_48	4	968 11	0
10_1_50	4	1673 4 52 0	2
10_1_52	4	317 3 197 36 21 1 47 11	1
10_1_54	4	153 77 0	1
10_1_56	4	437 0	1
10_1_57	3	18293 4 68 13 40 2 1021 11	0
10_1_58	4	15 13 24 95 0	2
10_1_59	2	150 4 3 104 20 163 17 8 6 529 228 0 3 381 91 44 47 8 0	1
10_1_61	2	1570 4 24 299 4 35 4 34 4 2 1672 10 938 275 0	2
10_1_63	2	36 11	0
10_1_65	2	77 4 467 4 3 43 251 4 25	2
10_1_70	2	27 4 1570 4 11135 4 104 20 224 152 44 154 103 8 517 26 6 562 28 14 1341 0	1
10_1_78	3	15 13 106 4 75 38 57 138 3 208 0	1
10_1_79	4	36 1 8 143 47 11 38 110 159 57 138 8 208 0	1
10_1_81	4	56 32 90 5 556 6 1349 15 3 35 226 6 2 961 17 8 11	3
10_1_82	3	157 0 3 72 24 19 16 15 17 8 0	2
10_1_84	3	44 92 4 44 92 0	1
10_1_85	4	283 4 59 161 8 167 95 15 8 1 20 243 65 29 93 82 10 15 41 1950 185 129 8 2 671 2 556 8 713 328 2 1021 0	1
10_1_86	3	133 4 1134 0 1570 4 21 1 2558 40943 17 13143 3547 2959 0	1
10_1_87	4	150 4 3 90 9 112 4 16 20 579 28 0	1
10_1_92	1	3 43 448 8 708 6 364 0 9 13 204 146 1 756 17 1836 10 28 6 344 21 30 8 0	1
10_1_94	1	157 4 756 4 34 15 0 15 13 91 0 198 16 20 59 99 144 81 2454 115 38 238 1 0	1
10_1_95	0	44 92 4 27 428 64 3150 2454 4 26 9 0	0
10_1_96	1	283 4 134 4 93 22 14 0	1
10_1_100	0	1134 0	1
10_1_110	0	16 15 1091 655 2 2430 41 13266 1 5 1745 6 8973 11	1
10_1_113	1	8 16 20 57 78 2308 153 77 0	2
10_1_114	0	64 36 5 1745 9 1 6 8973 23 13266 0	1
10_1_115	2	44 92 4 8 134 4 1570 4 26 1979 14 4 124 32 105 46 1016 2 1697 10 51 503 6 228 0	1
10_1_119	2	3 186 9 1 98 432 0	1
10_1_123	2	437 0 330 4 467 4 3 57 8 71 2200 4 25 3 1129 8 4 52 49 1 204 146 1190 8 64 21 340 0	3
10_1_127	0	5 145 241 971 1510 8 6 864 5 1771 14 2350 0 8 71 365 12 5 4597 0	1
10_1_128	1	77 4 227 212 4 92 11 9 13 130 0 356 32 26 1573 5 1060 70 4 8 134 62 123 19 6 69 506 160 189 0	2
10_1_132	0	36 11 14 2 41999 768 4866 14 4702 11 3 104 20 1 2 101 49 15 57 15 13 4622 0	1
10_1_137	1	2748 4 3 43 251 8 71 14 2 775 12 21 0	3
10_1_139	0	36 11 25 29 13 5 4795 4482 0 10 1538 6 40986 4 78 2014 21032 1 41999 0 29 13 821 9891 30 5 178 20699 0	2
10_1_141	0	133 4 260 131 26 14 5 1505 1705 40 8 0 242 5938 4 1226 11	1
10_1_142	1	21 1 1148 0 3 43 46 1016 2 1697 0	3
10_1_143	0	25 89 97 8 26 6 46 10 382 28 107 30 41 18110 762 11	3
10_1_147	1	15 108 2008 28 107 30 95 0	1
10_1_150	0	106 4 75 3 19 6 156 44 130 0	1
10_1_152	2	242 73 0 3 195 35 26 5620 5 109 77 5237 0	1
10_1_159	2	77 4 3 380 60 2 148 0	1
10_1_161	2	1720 0	1
10_1_166	1	1134 0	1
10_1_170	1	150 4 8 4 87 0 283 4 228 4 21 1 23 1075 4 40986 0	1
10_1_174	5	1 8 440 6 69 41 718 406 168 2 7582 11	1
10_1_177	0	8 59 266 390 137 4 467 0	2
10_1_178	5	10910 4 38 19 20 16 252 258 0 3 66 9 13 240 38 71 334 9 142 0	1
10_1_179	0	77 4 15 13 108 52 336 6 1798 166 252 0 3 165 4 85 40 50 0 32 90 99 10296 1157 0 8 10 3 4 32 16 20 113 493 354 17 210 103 0	1
10_1_182	0	283 4 283 0 67 13 522 4 90 5 900 1908 4 5909 0	1
10_1_183	3	89 72 20 15 13143 51 36 2 886 13 47 11 9 19 6 1 125 333 0	2
10_1_184	4	1715 168 4 437 11 122 24 6 66 47 9 0	1
10_1_185	3	15 13 98 481 1350 0	4
10_1_186	4	8 57 15 553 23 1537 0	2
10_1_187	3	1715 168 4 122 24 6 66 47 9 0	1
10_1_188	4	437 0	1
10_1_189	3	89 16 3 1258 143 6 8 11	2
10_1_190	4	150 4 93 22 0 36 13 2 125 15 121 93 12 21 886 11	0
10_1_191	3	3 16 20 57 0 38 90 2 7895 294 4 10 3 26 227 11	2
10_1_201	1	10 29 104 20 163 6 529 8 4 87 0 56 3 26 248 5 677 11	1
10_1_214	0	89 16 76 502 40 1576 11	2
10_1_224	0	478 12 80 4 9083 1661 2 5646 1 12404 0	1
10_1_236	0	157 4 956 28 4 3 86 6 51 190 6 187 242 756 4 10 3 35 104 20 163 144 844 0	1
10_1_240	1	135 8 0	1
10_1_243	1	283 4 3 43 35 2932 32 71 44 26 898 17 5 424 0	1
10_1_247	1	15 13 437 0 3 56 59 9 130 0	1
10_1_251	1	15 1 442 5 424 0	1
10_1_253	5	8 105 1 40 2 1359 74 307 200 41 967 0	0
10_1_255	0	1656 12 70 17 8 6 529 246 41999 397 2725 0	1
10_1_257	0	133 5887 0	0
10_1_258	5	10910 4 8 71 1075 13 74 3532 209 0 8 86 6 26 116 6 2 233 15 483 1 46 6 1 1000 14 88 0	1
10_1_259	0	77 4 10 8 86 6 500 2 379 10 384 41 492 0	3
10_1_260	5	3 62 24 19 8 1 3621 6 28 0	3
10_1_261	0	36 4 8 71 24 23 1075 0	3
10_1_263	0	133 5887 0	0
10_1_266	2	150 4 114 4 467 0	0
10_1_268	2	1 29 11 3 123 716 0	2
10_10_1	5	45 32 71 46 6 1 364 14 21 1640 4 72 8 1 1000 14 16 5 255 41115 11	1
10_10_2	0	150 4 195 4 3 72 0	0
10_10_3	5	106 4 36 171 8 19 14 384 11	0
10_10_4	0	128 13 90 183 603 99 60 2 160 1640 10 207 9 14 107 0	0
10_10_5	5	77 4 61 47 32 156 5 255 567 11 34 289 2 6395 270 0	1
10_10_6	0	8 57 4 3 19 159 186 15 21 2805 72 85 1291 22 2 5161 14 638 12 2 798 0	1
10_10_7	5	85 4 32 104 20 35 593 294 1836 13 351 4 25 32 56 197 45 67 84 144 12 9 112 0	2
10_10_8	0	8 57 4 3 393 61 67 139 47 44 21 6303 0	1
10_10_9	5	77 4 3 43 161 67 191 21 49 0 3 165 4 9 13 2 106 1347 3 110 175 129 1694 0	1
10_10_10	0	9 840 16 2088 2 1459 12 41 2698 30 1836 0	1
10_10_11	5	9 317 19 584 14 897 0 2 1112 262 766 4290 152 3109 15 0	2
10_10_13	5	3 104 20 163 6 69 2 85 22 88 337 65 3 129 9 6 88 189 0	1
10_10_14	0	85 4 9 13 2 149 1048 67 19 14 2 3109 0	1
10_10_15	0	157 4 63 13 2194 14 2 3498 4 3 56 777 9 92 75 0	1
10_10_16	2	150 4 52 4 52 4 170 2194 1 46 0	4
10_10_17	0	36 212 6 91 11	2
10_10_18	2	1570 4 32 1277 54 12 2031 22 1403 4 3 1 35 129 299 294 0	4
10_10_20	2	3172 84 28 6 19 9 0	1
10_10_21	5	77 4 9 72 1 4347 12 28 6 182 9 0	2
10_10_22	2	25 9 13 5 475 12 8 0	1
10_10_23	5	10 8 0	0
10_10_24	2	25 8 3493 9 0	1
10_10_25	5	6 129 6 8 0	1
10_10_26	2	25 8 34 9 27 109 0	1
10_10_27	5	27 16 8 0	1
10_10_28	2	3 259 6 1 232 0	2
10_10_29	1	133 4 8 16 0	0
10_10_32	0	15 259 706 4 32 16 35 129 8 2 3109 0	1
10_10_33	2	157 4 3 16 20 86 252 270 15 3 56 3948 420 30 0	2
10_10_34	0	908 4 41356 1 522 0 10 61 47 8 182 111 5249 2005 11	1
10_10_35	1	268 92 4 5 2130 2587 16738 595 2191 12 1178 10 5 99 15 678 54 12 5 99 32 2101 60 2 847 0	1
10_10_36	0	1725 4 3172 10 3 16 35 289 14 453 4 10 5 2005 1 5 1302 15993 1347 0	1
10_10_37	1	519 4 90 2 2005 0	1
10_10_38	0	150 4 32 26 5 5234 10 5 2005 4 111 1640 13 98 1880 53 0	1
10_10_43	3	21 1 153 240 15478 4 135 8 0	1
10_10_49	3	777 22 4 211 9 13 24 2 125 291 0 3 165 4 29 16 16 5 73 249 90 272 12 23 1075 0	1
10_10_53	3	65 72 8 289 14 11	0
10_10_60	3	157 4 128 95 16 9 0	0
10_10_61	0	150 0 295 65 32 26 21 40 41999 11	0
10_10_62	1	150 4 157 0 2 738 11882 19724 2940 0	0
10_10_64	0	9 13 49 12 5 365 0	1
10_10_65	2	27 45 9 404 63 171 1 981 12 9 11	2
